HouseNumber,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,SalePrice,SalePriceN
42,20,RL,115,16905,Reg,Inside,Sawyer,139000,<150k
43,85,RL,NA,9180,Reg,Corner,Edwards,155000,>150k
44,20,RL,NA,9200,Reg,Corner,SawyerW,320000,>150k
45,20,RL,70,7945,Reg,Inside,CollgCr,163990,>150k
46,120,RL,61,7658,IR1,CulDSac,ClearCr,180000,>150k
47,50,RL,48,12822,Reg,Inside,IDOTRR,100000,<150k
48,20,FV,84,11096,Reg,Corner,NAmes,136000,<150k
49,190,RM,33,4456,Reg,Inside,SawyerW,153900,>150k
50,20,RL,66,7742,IR1,CulDSac,NWAmes,181000,>150k
51,60,RL,NA,13869,Reg,Inside,CollgCr,208500,>150k
52,50,RM,52,6240,Reg,FR2,Veenker,181500,>150k
53,90,RM,110,8472,IR1,Inside,CollgCr,223500,>150k
54,20,RL,68,50271,IR1,Corner,Crawfor,140000,<150k
55,80,RL,60,7134,IR1,FR2,NoRidge,250000,>150k
56,20,RL,100,10175,IR1,Inside,Mitchel,143000,<150k
57,160,FV,24,2645,Reg,Inside,Somerst,307000,>150k
58,60,RL,89,11645,IR1,Corner,NWAmes,200000,>150k
59,60,RL,66,13682,Reg,Inside,OldTown,129900,<150k
60,20,RL,60,7200,Reg,Corner,BrkSide,118000,<150k
61,20,RL,63,13072,Reg,Inside,Sawyer,129500,<150k
62,75,RM,60,7200,IR1,Inside,NridgHt,345000,>150k
63,120,RL,44,6442,IR2,Inside,Sawyer,144000,<150k
64,70,RM,50,10300,IR1,Inside,CollgCr,279500,>150k
65,60,RL,NA,9375,IR1,Corner,NAmes,157000,>150k
66,60,RL,76,9591,Reg,Corner,BrkSide,132000,<150k
67,20,RL,NA,19900,IR1,CulDSac,NAmes,149000,<150k
68,20,RL,72,10665,Reg,Inside,Sawyer,90000,<150k
69,30,RM,47,4608,Reg,Inside,SawyerW,159000,>150k
70,50,RL,81,15593,Reg,Inside,NAmes,139000,<150k
71,20,RL,95,13651,IR1,Corner,NridgHt,325300,>150k
72,20,RL,69,7599,Reg,Inside,IDOTRR,139400,<150k
73,60,RL,74,10141,Reg,Inside,CollgCr,230000,>150k
74,20,RL,85,10200,Reg,Inside,MeadowV,129900,<150k
75,50,RM,60,5790,IR1,Inside,Sawyer,154000,>150k
76,180,RM,21,1596,Reg,Corner,NridgHt,256300,>150k
77,20,RL,NA,8475,Reg,Corner,NAmes,134800,<150k
78,50,RM,50,8635,Reg,Inside,NridgHt,306000,>150k
79,90,RL,72,10778,IR1,CulDSac,NAmes,207500,>150k
80,50,RM,60,10440,IR1,Inside,BrkSide,68500,<150k
81,60,RL,100,13000,Reg,Inside,IDOTRR,40000,<150k
82,120,RM,32,4500,IR1,CulDSac,Sawyer,149350,<150k
83,20,RL,78,10206,Reg,Corner,CollgCr,179900,>150k
84,20,RL,80,8892,IR1,Inside,NAmes,165500,>150k
85,80,RL,NA,8530,Reg,Inside,NridgHt,277500,>150k
86,60,RL,121,16059,Reg,Inside,NridgHt,309000,>150k
87,60,RL,122,11911,Reg,Corner,CollgCr,145000,<150k
88,160,FV,40,3951,Reg,Inside,NAmes,153000,>150k
89,50,C (all),105,8470,Reg,Inside,NAmes,109000,<150k
90,20,RL,60,8070,Reg,Inside,Edwards,82000,<150k
91,20,RL,60,7200,Reg,Inside,NAmes,160000,>150k
92,20,RL,85,8500,Reg,Inside,Timber,170000,>150k
93,30,RL,80,13360,IR1,CulDSac,SawyerW,144000,<150k
94,190,C (all),60,7200,IR1,CulDSac,CollgCr,130250,<150k
95,60,RL,69,9337,Reg,Inside,NAmes,141000,<150k
96,60,RL,NA,9765,Reg,Inside,NridgHt,319900,>150k
97,20,RL,78,10264,IR1,CulDSac,Mitchel,239686,>150k
98,20,RL,73,10921,Reg,Inside,Somerst,249700,>150k
99,30,RL,85,10625,Reg,Inside,OldTown,113000,<150k
100,20,RL,77,9320,Reg,Inside,Sawyer,127000,<150k
101,20,RL,NA,10603,IR2,Corner,Gilbert,177000,>150k
102,60,RL,77,9206,Reg,Inside,BrkSide,114500,<150k
103,90,RL,64,7018,IR2,Corner,IDOTRR,110000,<150k
104,20,RL,94,10402,IR1,Inside,Veenker,385000,>150k
105,50,RM,NA,7758,Reg,Inside,NAmes,130000,<150k
106,60,FV,75,9375,IR1,Inside,NAmes,180500,>150k
107,30,RM,60,10800,Reg,Inside,Somerst,172500,>150k
108,20,RM,50,6000,IR1,Corner,CollgCr,196500,>150k
109,50,RM,85,8500,IR2,CulDSac,StoneBr,438780,>150k
110,20,RL,105,11751,Reg,Inside,CollgCr,124900,<150k
111,50,RL,75,9525,Reg,Inside,SawyerW,158000,>150k
112,80,RL,NA,7750,Reg,Inside,IDOTRR,101000,<150k
113,60,RL,77,9965,IR1,Inside,NridgHt,202500,>150k
114,20,RL,NA,21000,IR1,Inside,OldTown,140000,<150k
115,70,RL,61,7259,Reg,Inside,CollgCr,219500,>150k
116,160,FV,34,3230,Reg,Inside,NridgHt,317000,>150k
117,20,RL,NA,11616,Reg,Inside,NAmes,180000,>150k
118,20,RL,74,8536,IR1,Inside,CollgCr,226000,>150k
119,60,RL,90,12376,Reg,Corner,OldTown,80000,<150k
120,60,RL,65,8461,Reg,Corner,ClearCr,225000,>150k
121,80,RL,NA,21453,IR1,Inside,NAmes,244000,>150k
122,50,RM,50,6060,Reg,Corner,Mitchel,129500,<150k
123,20,RL,75,9464,IR1,Corner,Gilbert,185000,>150k
124,120,RL,55,7892,Reg,Inside,NAmes,144900,<150k
125,20,RL,48,17043,Reg,Corner,OldTown,107400,<150k
126,190,RM,60,6780,Reg,Inside,Crawfor,158500,>150k
127,120,RL,NA,4928,Reg,Corner,Crawfor,157000,>150k
128,45,RM,55,4388,IR3,Inside,CollgCr,267000,>150k
129,60,RL,69,7590,IR1,Corner,CollgCr,205000,>150k
130,20,RL,69,8973,Reg,Corner,CollgCr,149900,<150k
131,60,RL,88,14200,Reg,Inside,OldTown,295000,>150k
132,60,RL,NA,12224,Reg,Inside,CollgCr,305900,>150k
133,20,RL,75,7388,Reg,Inside,SawyerW,225000,>150k
134,20,RL,NA,6853,IR1,Inside,IDOTRR,89500,<150k
135,20,RL,78,10335,IR1,Inside,Edwards,82500,<150k
136,20,RL,80,10400,IR1,Inside,NridgHt,360000,>150k
137,20,RL,NA,10355,IR1,Inside,Gilbert,165600,>150k
138,90,RL,82,11070,Reg,Inside,NAmes,132000,<150k
139,60,RL,73,9066,Reg,Inside,OldTown,119900,<150k
140,60,RL,65,15426,IR3,Inside,Timber,375000,>150k
141,20,RL,70,10500,Reg,Inside,OldTown,178000,>150k
142,20,RL,78,11645,IR1,Inside,Gilbert,188500,>150k
143,50,RL,71,8520,IR1,Corner,NWAmes,260000,>150k
144,20,RL,78,10335,Reg,Inside,Somerst,270000,>150k
145,90,RM,70,9100,Reg,Inside,NoRidge,260000,>150k
146,160,RM,24,2522,Reg,Inside,NWAmes,187500,>150k
147,30,RM,51,6120,Reg,Corner,NridgHt,342643,>150k
148,60,RL,NA,9505,IR1,Inside,NridgHt,354000,>150k
149,20,RL,63,7500,IR1,Inside,SawyerW,301000,>150k
150,50,RM,NA,6240,Reg,Inside,OldTown,126175,<150k
151,20,RL,120,10356,Reg,Inside,IDOTRR,84500,<150k
152,20,RL,107,13891,IR1,Inside,NPkVill,128000,<150k
153,60,RL,NA,14803,IR1,Inside,OldTown,87000,<150k
154,20,RL,NA,13500,Reg,Inside,NAmes,155000,>150k
155,30,RM,84,11340,Reg,Inside,NAmes,150000,<150k
156,50,RL,60,9600,Reg,Corner,NAmes,226000,>150k
157,20,RL,60,7200,IR1,Corner,Gilbert,244000,>150k
158,60,RL,92,12003,Reg,Corner,NAmes,150750,>150k
159,60,FV,100,12552,IR1,Inside,Timber,220000,>150k
160,60,RL,134,19378,IR1,Inside,Sawyer,180000,>150k
161,20,RL,NA,11120,Reg,Inside,NWAmes,174000,>150k
162,60,RL,110,13688,IR1,Corner,NAmes,143000,<150k
163,20,RL,95,12182,Reg,Inside,Mitchel,171000,>150k
164,45,RL,55,5500,IR1,Inside,CollgCr,230000,>150k
165,40,RM,40,5400,IR1,Inside,CollgCr,231500,>150k
166,190,RL,62,10106,Reg,FR2,NAmes,115000,<150k
167,20,RL,NA,10708,Reg,Inside,CollgCr,260000,>150k
168,60,RL,86,10562,Reg,Corner,NAmes,166000,>150k
169,60,RL,62,8244,IR1,Inside,CollgCr,204000,>150k
170,20,RL,NA,16669,Reg,Inside,Sawyer,125000,<150k
171,50,RM,NA,12358,Reg,Inside,Edwards,130000,<150k
172,20,RL,141,31770,Reg,Corner,BrkSide,105000,<150k
173,160,RL,44,5306,IR1,CulDSac,Gilbert,222500,>150k
174,20,RL,80,10197,Reg,Inside,SawyerW,141000,<150k
175,20,RL,47,12416,Reg,Inside,BrkSide,115000,<150k
176,20,RL,84,12615,Reg,Corner,CollgCr,122000,<150k
177,60,RL,97,10029,Reg,Inside,NridgHt,372402,>150k
178,50,RL,NA,13650,IR1,CulDSac,NWAmes,190000,>150k
179,20,RL,63,17423,Reg,Inside,ClearCr,235000,>150k
180,30,RM,60,8520,Reg,Corner,OldTown,125000,<150k
181,160,FV,NA,2117,Reg,Corner,Edwards,79000,<150k
182,70,RL,54,7588,Reg,Inside,NAmes,109500,<150k
183,20,RL,60,9060,Reg,Corner,Timber,269500,>150k
184,50,RM,63,11426,Reg,Corner,Somerst,254900,>150k
185,50,RL,92,7438,IR1,Corner,Gilbert,320000,>150k
186,75,RM,90,22950,IR1,CulDSac,Veenker,162500,>150k
187,80,RL,NA,9947,IR1,Inside,NridgHt,412500,>150k
188,50,RL,60,10410,Reg,Corner,NridgHt,220000,>150k
189,90,RL,64,7018,Reg,Inside,OldTown,103200,<150k
190,120,RL,41,4923,Reg,Corner,OldTown,152000,>150k
191,70,RL,70,10570,Reg,Inside,Edwards,127500,<150k
192,60,RL,NA,7472,IR1,Inside,ClearCr,190000,>150k
193,20,RL,68,9017,Reg,Inside,NridgHt,325624,>150k
194,160,RM,24,2522,IR1,Inside,Gilbert,183500,>150k
195,20,RL,60,7180,IR1,Corner,Timber,228000,>150k
196,160,RL,24,2280,IR1,Inside,OldTown,128500,<150k
197,20,RL,79,9416,IR1,Corner,NAmes,215000,>150k
198,75,RL,174,25419,IR1,Inside,StoneBr,239000,>150k
199,75,RM,92,5520,IR1,Inside,NAmes,163000,>150k
200,20,RL,76,9591,IR1,Inside,Timber,184000,>150k
201,20,RM,80,8546,Reg,Corner,Edwards,243000,>150k
202,20,RL,75,10125,IR1,Corner,ClearCr,211000,>150k
203,50,RL,50,7000,Reg,Inside,Sawyer,172500,>150k
204,120,RM,NA,4438,IR1,CulDSac,StoneBr,501837,>150k
205,50,RM,50,3500,Reg,Inside,OldTown,100000,<150k
206,20,RL,99,11851,Reg,Inside,Somerst,177000,>150k
207,20,RL,40,13673,Reg,Inside,Crawfor,200100,>150k
208,20,RL,NA,12493,Reg,Inside,Edwards,120000,<150k
209,60,RL,NA,14364,Reg,Inside,OldTown,200000,>150k
210,20,RL,75,8250,IR1,Inside,BrkSide,127000,<150k
211,30,RL,67,5604,IR2,Inside,OldTown,475000,>150k
212,20,RL,83,10420,IR1,CulDSac,Mitchel,173000,>150k
213,60,FV,72,8640,Reg,Inside,OldTown,135000,<150k
214,20,RL,43,13568,Reg,Inside,SawyerW,153337,>150k
215,60,RL,NA,10900,Reg,Inside,StoneBr,286000,>150k
216,20,RL,72,10011,Reg,Inside,Crawfor,315000,>150k
217,20,RL,65,8450,IR1,CulDSac,NAmes,184000,>150k
218,70,RM,57,9906,IR1,Inside,CollgCr,192000,>150k
219,50,RL,NA,15660,Reg,Inside,Edwards,130000,<150k
220,120,RL,43,3010,IR1,Inside,CollgCr,127000,<150k
221,20,RL,73,8990,Reg,FR2,NPkVill,148500,<150k
222,60,RL,NA,8068,Reg,Inside,Somerst,311872,>150k
223,60,RL,85,11475,Reg,Corner,NAmes,235000,>150k
224,20,RL,70,10500,Reg,Corner,OldTown,104000,<150k
225,20,RL,103,13472,Reg,Inside,NridgHt,274900,>150k
226,160,RM,21,1680,Reg,Corner,Mitchel,124500,<150k
227,60,RL,82,9950,Reg,Inside,BrkSide,205000,>150k
228,160,RM,21,1869,IR1,Inside,Mitchel,201000,>150k
229,20,RL,70,8521,Reg,Corner,Gilbert,141000,<150k
230,120,RL,43,3182,Reg,Inside,NridgHt,415298,>150k
231,20,RL,73,8760,Reg,Inside,ClearCr,192000,>150k
232,60,RL,174,15138,Reg,Inside,SawyerW,228500,>150k
233,160,RM,21,1680,Reg,Inside,Somerst,185000,>150k
234,20,RL,75,10650,Reg,Inside,NridgHt,207500,>150k
236,160,RM,21,1680,IR1,Inside,NAmes,109008,<150k
237,20,RL,65,8773,Reg,Inside,CollgCr,195400,>150k
238,60,RL,NA,9453,IR1,Corner,Timber,175000,>150k
239,20,RL,93,12030,Reg,Inside,BrDale,85400,<150k
240,50,RL,52,8741,IR1,Inside,OldTown,79900,<150k
241,20,FV,75,9000,Reg,Inside,BrDale,122500,<150k
242,30,RM,40,3880,IR1,Corner,Gilbert,181000,>150k
243,50,RM,63,5000,Reg,Inside,MeadowV,81000,<150k
244,160,RL,75,10762,IR2,CulDSac,CollgCr,212000,>150k
245,60,RL,NA,8880,Reg,Inside,OldTown,116000,<150k
246,20,RL,80,10400,Reg,Inside,BrkSide,119000,<150k
247,190,RM,69,9142,Reg,Inside,Crawfor,90350,<150k
248,20,RL,75,11310,Reg,Corner,Edwards,110000,<150k
249,60,RL,72,11317,Reg,Inside,NridgHt,555000,>150k
250,50,RL,NA,159000,Reg,Inside,Edwards,118000,<150k
251,30,RL,55,5350,Reg,Inside,BrkSide,162900,>150k
252,120,RM,44,4750,Reg,Inside,Blmngtn,172500,>150k
253,60,RL,65,8366,Reg,Inside,CollgCr,210000,>150k
254,80,RL,85,9350,Reg,Corner,Edwards,127500,<150k
255,20,RL,70,8400,IR1,Corner,NAmes,190000,>150k
256,60,RL,66,8738,IR1,Corner,Gilbert,199900,>150k
257,60,FV,64,8791,Reg,Inside,IDOTRR,119500,<150k
258,20,RL,68,8814,Reg,Inside,NAmes,140000,<150k
259,60,RL,80,12435,Reg,Inside,NPkVill,148500,<150k
260,20,RM,70,12702,Reg,Inside,OldTown,87000,<150k
261,80,RL,120,19296,Reg,Inside,OldTown,109500,<150k
262,60,RL,69,9588,IR1,Inside,StoneBr,372500,>150k
263,80,RL,88,8471,IR1,Inside,Sawyer,128500,<150k
264,50,RM,50,5500,Reg,Inside,SawyerW,143000,<150k
265,30,RM,30,5232,IR2,Inside,SWISU,159434,>150k
266,20,RL,78,12090,Reg,Inside,ClearCr,173000,>150k
267,60,RL,70,11207,IR1,Corner,CollgCr,285000,>150k
268,75,RL,60,8400,IR2,CulDSac,NoRidge,221000,>150k
269,30,RM,71,6900,IR1,CulDSac,StoneBr,207500,>150k
270,20,RL,NA,7917,Reg,Inside,Somerst,227875,>150k
271,60,FV,84,10728,IR2,FR2,Somerst,148800,<150k
272,20,RL,73,39104,Reg,Inside,StoneBr,392000,>150k
273,60,RL,92,11764,IR1,Corner,NridgHt,194700,>150k
274,20,RL,80,9600,Reg,Inside,CollgCr,141000,<150k
275,20,RL,76,8314,IR1,Corner,NoRidge,755000,>150k
276,50,RL,55,7264,IR1,Inside,Timber,335000,>150k
277,20,RL,129,9196,Reg,Corner,OldTown,108480,<150k
278,20,RL,140,19138,Reg,Corner,BrkSide,141500,<150k
279,20,RL,107,14450,IR1,Inside,Timber,176000,>150k
280,60,RL,83,10005,Reg,Inside,BrkSide,89000,<150k
281,60,RL,82,11287,IR1,Inside,Edwards,123500,<150k
282,20,FV,60,7200,Reg,Inside,Sawyer,138500,<150k
283,120,RL,34,5063,IR1,Inside,NAmes,120000,<150k
284,20,RL,74,9612,Reg,Inside,BrDale,113000,<150k
285,120,RL,50,8012,Reg,Inside,Somerst,226700,>150k
286,160,FV,35,4251,Reg,Corner,Edwards,140000,<150k
287,50,RL,77,9786,IR1,Inside,Crawfor,289000,>150k
288,20,RL,NA,8125,Reg,Inside,NPkVill,147000,<150k
289,20,RL,NA,9819,Reg,Inside,OldTown,124500,<150k
290,70,RL,60,8730,IR1,Inside,SawyerW,215000,>150k
291,60,RL,120,15611,IR1,Inside,Somerst,208300,>150k
292,190,RL,55,5687,Reg,Inside,OldTown,161000,>150k
293,50,RL,60,11409,Reg,Corner,NAmes,124500,<150k
294,60,RL,NA,16659,Reg,Inside,NAmes,164900,>150k
295,20,RL,80,9600,IR1,Inside,NridgHt,202665,>150k
296,80,RL,37,7937,Reg,Corner,NAmes,129900,<150k
297,50,RM,75,13710,Reg,Corner,Mitchel,134000,<150k
298,60,FV,66,7399,Reg,Inside,Crawfor,96500,<150k
299,60,RL,90,11700,Reg,Inside,NridgHt,402861,>150k
300,20,RL,80,14000,IR1,Corner,NWAmes,158000,>150k
301,190,RL,90,15750,IR1,Inside,NoRidge,265000,>150k
302,60,RL,66,16226,IR1,CulDSac,CollgCr,211000,>150k
303,20,RL,118,13704,Reg,Inside,Crawfor,234000,>150k
304,20,RL,70,9800,Reg,Inside,OldTown,106250,<150k
305,75,RM,87,18386,IR1,Corner,NAmes,150000,<150k
306,20,RL,80,10386,Reg,Corner,BrkSide,159000,>150k
307,60,RL,116,13474,IR1,Inside,Edwards,184750,>150k
308,50,RM,NA,7920,IR1,Inside,NoRidge,315750,>150k
309,30,RL,NA,12342,Reg,Inside,Somerst,176000,>150k
310,20,RL,90,12378,Reg,Inside,NAmes,132000,<150k
311,60,RL,NA,7685,IR1,Inside,NridgHt,446261,>150k
312,20,RL,50,8000,IR1,Inside,Edwards,86000,<150k
313,190,RM,65,7800,IR1,CulDSac,Crawfor,200624,>150k
314,20,RL,150,215245,Reg,Inside,Timber,175000,>150k
315,70,RM,60,9600,IR1,FR3,BrkSide,128000,<150k
316,60,RL,71,7795,Reg,Inside,NAmes,107500,<150k
317,60,RL,94,13005,Reg,Inside,BrkSide,39300,<150k
318,60,FV,75,9000,IR1,Inside,Gilbert,178000,>150k
319,60,RL,90,9900,Reg,Inside,Edwards,107500,<150k
320,80,RL,NA,14115,IR1,CulDSac,CollgCr,188000,>150k
321,60,RL,111,16259,IR1,FR2,NAmes,111250,<150k
322,60,RL,99,12099,IR1,Inside,Sawyer,158000,>150k
323,60,RL,86,10380,Reg,Inside,CollgCr,272000,>150k
324,20,RM,49,5820,Reg,Inside,Timber,315000,>150k
325,80,RL,96,11275,Reg,FR2,NoRidge,248000,>150k
326,45,RM,50,5000,Reg,Inside,NWAmes,213250,>150k
327,120,RL,32,10846,Reg,Inside,NAmes,133000,<150k
328,20,RL,80,11600,IR1,Inside,Gilbert,179665,>150k
329,75,RL,NA,11888,IR1,Corner,NWAmes,229000,>150k
330,70,RM,60,6402,IR1,Inside,BrkSide,210000,>150k
331,90,RL,NA,10624,Reg,Inside,Mitchel,129500,<150k
332,20,RL,70,8176,IR1,Inside,OldTown,125000,<150k
333,20,RL,85,10655,Reg,Inside,Somerst,263000,>150k
334,120,RM,59,8198,Reg,Inside,NWAmes,165150,>150k
335,60,RL,59,9042,IR1,Corner,NAmes,160000,>150k
336,190,RL,NA,164660,IR1,Inside,NAmes,139900,<150k
337,20,RL,86,14157,Reg,Inside,NAmes,153000,>150k
338,20,RL,70,9135,IR1,Inside,NAmes,135000,<150k
339,20,RL,91,14145,Reg,Corner,NAmes,168500,>150k
340,20,RL,66,12400,Reg,Corner,OldTown,124000,<150k
341,60,RL,85,14191,Reg,Inside,NridgHt,209500,>150k
342,20,RH,60,8400,Reg,Inside,NWAmes,82500,<150k
343,90,RL,NA,8544,Reg,Corner,NAmes,139400,<150k
344,120,RL,63,8849,Reg,Inside,OldTown,144000,<150k
345,160,RM,36,2592,Reg,Inside,SWISU,200000,>150k
346,50,RL,65,6435,Reg,Inside,BrkSide,60000,<150k
347,20,RL,NA,12772,Reg,Inside,OldTown,93000,<150k
348,20,RL,NA,17600,Reg,Inside,Edwards,85000,<150k
349,160,RL,36,2448,Reg,Inside,Blmngtn,264561,>150k
350,60,RL,56,20431,IR1,Inside,NridgHt,274000,>150k
351,120,RL,68,7820,Reg,Inside,Somerst,226000,>150k
352,120,RL,NA,5271,Reg,Inside,NAmes,345000,>150k
353,50,RL,60,9084,Reg,Inside,NWAmes,152000,>150k
354,30,RM,60,8520,Reg,Inside,Somerst,370878,>150k
355,50,RL,60,8400,IR1,Corner,NAmes,143250,<150k
356,20,RL,105,11249,Reg,Inside,NAmes,98300,<150k
357,20,RL,NA,9248,IR1,Inside,Edwards,155000,>150k
358,120,RM,44,4224,Reg,Inside,NAmes,155000,>150k
359,80,RL,92,6930,Reg,Inside,MeadowV,84500,<150k
360,60,RL,78,12011,Reg,Inside,Somerst,205950,>150k
361,85,RL,NA,7540,Reg,Inside,Edwards,108000,<150k
362,50,RL,NA,9144,Reg,Inside,CollgCr,191000,>150k
363,85,RL,64,7301,Reg,Inside,IDOTRR,135000,<150k
364,160,RM,21,1680,IR1,Inside,NoRidge,350000,>150k
365,60,RL,NA,18800,Reg,Inside,BrDale,88000,<150k
366,70,RM,59,10690,IR1,Inside,NAmes,145500,<150k
367,20,RL,NA,9500,Reg,Inside,Crawfor,149000,<150k
368,80,RL,101,9150,Reg,Inside,NAmes,97500,<150k
369,20,RL,78,7800,Reg,Corner,Edwards,167000,>150k
370,20,RL,NA,9830,Reg,CulDSac,NWAmes,197900,>150k
371,60,RL,NA,8121,IR2,CulDSac,NoRidge,402000,>150k
372,50,RL,80,17120,Reg,Corner,NAmes,110000,<150k
373,120,RL,50,7175,Reg,Inside,Edwards,137500,<150k
374,20,RL,79,10634,IR2,CulDSac,Somerst,423000,>150k
375,60,RL,65,8200,IR1,Corner,Gilbert,230500,>150k
376,30,RL,NA,10020,IR1,Inside,NAmes,129000,<150k
377,85,RL,57,8846,Reg,Inside,SawyerW,193500,>150k
378,60,FV,102,11143,Reg,Corner,Sawyer,168000,>150k
379,20,RL,88,11394,Reg,Inside,Crawfor,137500,<150k
380,60,RL,60,8123,Reg,FR2,CollgCr,173500,>150k
381,50,RL,50,5000,Reg,Inside,Edwards,103600,<150k
382,20,FV,60,7200,IR1,Inside,Veenker,165000,>150k
383,60,RL,79,9245,Reg,Inside,Crawfor,257500,>150k
384,45,RH,60,9000,Reg,Inside,NPkVill,140000,<150k
385,60,RL,NA,53107,Reg,Inside,OldTown,112500,<150k
386,120,RL,43,3182,IR1,Inside,NridgHt,255500,>150k
387,50,RL,58,8410,Reg,Inside,Edwards,108000,<150k
388,80,RL,72,7200,Reg,Inside,NridgHt,284000,>150k
389,20,RL,93,9382,Reg,Inside,BrkSide,113000,<150k
390,60,RL,96,12474,IR1,Inside,NAmes,141000,<150k
391,50,RL,50,8405,Reg,Inside,IDOTRR,108000,<150k
392,60,RL,71,12209,IR2,FR2,Gilbert,175000,>150k
393,20,RL,NA,8339,Reg,Inside,Blmngtn,234000,>150k
394,30,RL,NA,7446,IR1,Inside,Sawyer,121500,<150k
395,50,RL,60,10134,Reg,Inside,Mitchel,170000,>150k
396,20,RL,68,9571,Reg,Inside,Edwards,108000,<150k
397,20,RL,60,7200,Reg,Inside,Edwards,185000,>150k
398,60,RL,69,7590,IR1,CulDSac,NoRidge,268000,>150k
399,30,RM,60,8967,Reg,Corner,SWISU,128000,<150k
400,60,FV,65,8125,IR1,Inside,StoneBr,325000,>150k
401,120,RL,38,14963,IR1,Inside,NridgHt,214000,>150k
402,20,RL,65,8767,IR1,Inside,SawyerW,316600,>150k
403,30,RL,60,10200,IR1,Corner,NAmes,135960,<150k
404,60,RL,93,12090,IR1,Inside,NAmes,142600,<150k
405,60,RL,NA,10364,Reg,Inside,NAmes,120000,<150k
406,20,RL,NA,9991,IR1,Corner,Timber,224500,>150k
407,50,RL,51,10480,IR1,Inside,Gilbert,170000,>150k
408,70,RL,63,15576,Reg,FR2,NAmes,139000,<150k
409,60,RL,109,14154,Reg,Inside,NAmes,118500,<150k
410,60,FV,85,10800,Reg,Inside,SWISU,145000,<150k
411,20,RL,68,9571,IR1,Inside,Sawyer,164500,>150k
412,190,RL,100,34650,Reg,Corner,Somerst,146000,<150k
413,20,FV,NA,4403,Reg,Inside,OldTown,131500,<150k
414,30,RM,56,8960,IR1,CulDSac,NAmes,181900,>150k
415,60,RL,59,11228,Reg,Inside,NridgHt,253293,>150k
416,20,RL,73,8899,Reg,Inside,Edwards,118500,<150k
417,60,RL,74,7844,Reg,Inside,OldTown,325000,>150k
418,70,RL,86,22420,Reg,Inside,BrkSide,133000,<150k
419,50,RL,60,8160,Reg,Inside,Timber,369900,>150k
420,20,RL,65,8450,Reg,Inside,BrkSide,130000,<150k
421,90,RM,78,7060,IR1,Inside,Sawyer,137000,<150k
422,20,RL,NA,16635,IR1,Inside,ClearCr,143000,<150k
